credentialID,username,password,Role,Employee #
1,admin01,admin123,HRADMIN,10001
2,admin02,admin124,HRADMIN,10002
3,admin03,admin125,HRADMIN,10003
4,admin04,admin126,HRADMIN,10004
5,it01,1234,IT,10005
6,admin06,admin128,HRADMIN,10006
7,admin07,1234,HR,10007
8,emp01,1234,EMPLOYEE,10008
9,emp02,1234,EMPLOYEE,10009
10,emp03,1234,EMPLOYEE,10010
11,emp04,1234,EMPLOYEE,10011
12,emp05,1234,EMPLOYEE,10012
13,emp06,1234,EMPLOYEE,10013
14,emp07,1234,EMPLOYEE,10014
15,emp08,1234,EMPLOYEE,10015
16,emp09,1234,EMPLOYEE,10016
17,emp10,1234,EMPLOYEE,10017
18,emp11,1234,EMPLOYEE,10018
19,emp12,1234,EMPLOYEE,10019
20,emp13,1234,EMPLOYEE,10020
21,emp14,1234,EMPLOYEE,10021
22,emp15,1234,EMPLOYEE,10022
23,emp16,1234,EMPLOYEE,10023
24,emp17,1234,EMPLOYEE,10024
25,emp18,1234,EMPLOYEE,10025
26,emp19,1234,EMPLOYEE,10026
27,emp20,1234,EMPLOYEE,10027
28,emp21,1234,EMPLOYEE,10028
29,emp22,1234,EMPLOYEE,10029
30,emp23,1234,EMPLOYEE,10030
31,emp24,1234,EMPLOYEE,10031
32,emp25,1234,EMPLOYEE,10032
33,emp26,1234,EMPLOYEE,10033
34,emp27,1234,EMPLOYEE,10034
